stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_elevation,zone_id,stop_url,location_type,parent_station,platform_code,ch_station_long_name,ch_station_synonym1,ch_station_synonym2,ch_station_synonym3,ch_station_synonym4
8500019,SHAL,Schweizerhalle,,47.531503,7.662306,259,,,0,,,,,,,
8500872,BSIF,Basel Schifflände,,47.559916,7.588444,244,,,0,,,,,,,
8501071,YVOI,Yvoire,,46.371065,6.324806,373,,,0,,,,,,,
8501072,THCG,Thonon-les-Bains CGN,,46.375112,6.476694,373,,,0,,,,,,,
8501074,EVCG,Evian-les-Bains CGN,,46.401594,6.594780,373,,,0,,,,,,,
8501075,LSO,Lausanne-Ouchy,,46.505662,6.626862,373,,,0,,,,,,,
8501077,MXCG,Montreux CGN,,46.434539,6.909508,373,,,0,,,,,,,
8501078,SGCG,St-Gingolph (Suisse) CGN,,46.393391,6.805886,373,,,0,,,,,,,
8501079,BOCG,Bouveret CGN,,46.387474,6.851468,373,,,0,,,,,,,
8501227,NYCG,Nyon CGN,,46.382292,6.243561,373,,,0,,,,,,,
8501228,MOCG,Morges CGN,,46.508385,6.500500,373,,,0,,,,,,,
8501231,,Anières,,46.278476,6.221348,373,,,0,,,,,,,
8501232,BECG,Bellevue CGN,,46.255162,6.156036,373,,,0,,,,,,,
8501234,CHCH,Château-de-Chillon,,46.412887,6.929203,373,,,0,,,,,,,
8501235,,Corsier GE,,46.266859,6.210387,373,,,0,,,,,,,
8501236,GEJA,Genève-Jardin-Anglais,,46.205414,6.154825,373,,,0,,,,,,,
8501237,GEMB,Genève-Mont-Blanc,,46.207182,6.148926,373,,,0,,,,,,,
8501238,GEPA,Genève-Pâquis,,46.208699,6.151002,373,,,0,,,,,,,
8501239,HERM,Hermance,,46.301633,6.241546,373,,,0,,,,,,,
8501242,NER,Nernier,,46.365389,6.302232,373,,,0,,,,,,,
8501243,RISS,Rivaz-St-Saphorin,,46.473600,6.784036,373,,,0,,,,,,,
8501245,STSU,St-Sulpice VD,,46.508521,6.561411,373,,,0,,,,,,,
8501247,VVT,Vevey-La Tour,,46.456942,6.850011,373,,,0,,,,,,,
8501248,VVM,Vevey-Marché,,46.458737,6.840633,373,,,0,,,,,,,
8501311,GEEV,Genève-Eaux-Vives CGN,,46.209169,6.162226,373,,,0,,,,,,,
8501312,CLCG,Clarens CGN,,46.439801,6.896002,373,,,0,,,,,,,
8501313,TECG,Territet CGN,,46.425701,6.922318,373,,,0,,,,,,,
8501314,VICG,Villeneuve CGN,,46.398617,6.924708,373,,,0,,,,,,,
8501315,CECG,Céligny CGN,,46.347924,6.209929,373,,,0,,,,,,,
8501316,COCG,Coppet CGN,,46.315053,6.192963,373,,,0,,,,,,,
8501317,CUCG,Cully CGN,,46.487472,6.731616,373,,,0,,,,,,,
8501318,LTCG,Lutry CGN,,46.501226,6.684054,373,,,0,,,,,,,
8501319,PUCG,Pully CGN,,46.505400,6.661300,373,,,0,,,,,,,
8501320,ROCG,Rolle CGN,,46.454990,6.337281,373,,,0,,,,,,,
8501321,SPCG,St-Prex CGN,,46.478749,6.461907,373,,,0,,,,,,,
8501322,VSCG,Versoix CGN,,46.277512,6.169729,373,,,0,,,,,,,
8502246,,Zug Landsgemeindeplatz (See),,47.167434,8.513456,432,,,0,,,,,,,
8502250,,Cham (See),,47.178666,8.463468,418,,,0,,,,,,,
8502251,,Zug Bahnhofsteg (See),,47.170098,8.513338,421,,,0,,,,,,,
8502252,,Oberwil bei Zug (See),,47.149010,8.506796,417,,,0,,,,,,,
8502253,,Buonas (See),,47.142224,8.458525,417,,,0,,,,,,,
8502254,,Risch (See),,47.133828,8.467975,417,,,0,,,,,,,
8502255,,Lotenbach (See),,47.114619,8.500049,417,,,0,,,,,,,
8502257,,Immensee (See),,47.096531,8.464110,416,,,0,,,,,,,
8502258,,Walchwil (See),,47.099678,8.512492,417,,,0,,,,,,,
8503446,,Zürich Landesmuseum,,47.378846,8.541715,480,,,0,,,,,,,
8503447,,Zürich Storchen,,47.371027,8.541964,406,,,0,,,,,,,
8503449,,Zürich Enge Hafen,,47.359136,8.537164,409,,,0,,,,,,,
8503647,,Schmerikon ZSG,,47.224575,8.940313,408,,,0,,,,,,,
8503648,,Lachen ZSG,,47.193653,8.850226,417,,,0,,,,,,,
8503651,,Zürich Bürkliplatz,,47.366010,8.540788,406,,,0,,,,,,,
8503653,,Zürichhorn Casino,,47.352624,8.553125,406,,,0,,,,,,,
8503655,,Zollikon ZSG,,47.338685,8.567523,415,,,0,,,,,,,
8503657,,Küsnacht ZSG,,47.319018,8.577914,406,,,0,,,,,,,
8503659,,Erlenbach ZSG,,47.303028,8.589302,419,,,0,,,,,,,
8503660,,Herrliberg ZSG,,47.283482,8.609781,423,,,0,,,,,,,
8503661,,Meilen ZSG,,47.267551,8.640330,407,,,0,,,,,,,
8503663,,Uetikon ZSG,,47.258614,8.675633,415,,,0,,,,,,,
8503664,,Männedorf ZSG,,47.252792,8.689093,419,,,0,,,,,,,
8503665,,Stäfa ZSG,,47.238707,8.718443,408,,,0,,,,,,,
8503666,,Uerikon ZSG,,47.233481,8.758205,426,,,0,,,,,,,
8503667,,Rapperswil ZSG,,47.225709,8.813555,409,,,0,,,,,,,
